SESSION_ID,politics,Harmed,Unnat,Friend,Duties,Rights,Group,Loyalty,Violence,Desires,Profiting,Decency,Unfair,Interests,Weak,Author,Uplifting,Rank,Emotionally,Traditions,Treated,Betray,Respect,Slap,Heritage,Chastity,Romantic,Revolting,Wellbeing,Compassion,Line,Kill,Grouploy,Govharm,Sexroles,Soldier,Sin,Justice,Wrongdisgust,Fairly,Kidrespect,education,income2,gender,Age,TerrorRev,BrotherRev
418919,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,-1,32,,
423272,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,2,1,3,4,5,4,6,4,2,2,2,1,5,3,4,4,9,3,1,28,6,1
424070,-3,,,,,,,,,,,,,,,,,,,,,,,5,4,3,2,4,2,5,6,6,2,6,2,4,1,6,3,6,4,9,3,1,42,4,2
418268,-3,,,,,,,,,,,,,,,,,,,,,,,3,4,5,1,2,2,5,3,2,4,6,6,2,1,6,3,5,4,9,3,1,57,6,6
422515,-3,,,,,,,,,,,,,,,,,,,,,,,3,5,5,4,3,4,5,6,3,3,5,4,5,4,6,5,5,6,9,3,1,69,3,2
397930,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,1,57,,
422050,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,1,52,,
418830,-3,,,,,,,,,,,,,,,,,,,,,,,6,5,4,3,1,2,5,6,3,5,5,2,2,1,6,1,6,4,9,4,-1,42,6,1
395433,-3,,,,,,,,,,,,,,,,,,,,,,,3,4,4,1,5,2,6,4,5,2,5,1,2,2,5,2,6,5,9,4,1,27,6,5
396562,-3,,,,,,,,,,,,,,,,,,,,,,,3,4,4,2,6,1,5,6,6,3,6,2,3,4,6,1,6,4,9,4,1,73,6,1
395479,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,1,60,,
421470,-3,,,,,,,,,,,,,,,,,,,,,,,4,3,2,4,1,3,4,5,6,4,5,4,4,3,5,1,6,4,9,4,-1,43,4,4
397945,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,1,49,,
398721,-3,,,,,,,,,,,,,,,,,,,,,,,6,5,4,5,3,1,6,4,6,2,5,2,1,1,6,1,2,5,9,4,1,41,4,4
398768,-3,,,,,,,,,,,,,,,,,,,,,,,4,4,1,2,2,2,6,5,3,2,5,4,5,1,5,1,6,5,9,4,-1,61,5,5
417388,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,4,1,4,1,4,4,5,3,5,2,3,1,4,1,4,4,9,4,1,54,6,2
424264,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,-1,73,,
418564,-3,,,,,,,,,,,,,,,,,,,,,,,4,5,1,5,4,2,2,6,1,1,5,4,2,1,5,2,4,5,9,5,-1,66,6,1
423742,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,2,1,5,1,3,4,4,3,3,1,5,1,5,2,5,5,9,,1,32,6,3
418895,-3,,,,,,,,,,,,,,,,,,,,,,,5,2,4,4,2,2,5,4,3,2,5,2,5,2,5,2,5,2,10,2,1,27,6,4
423384,-3,,,,,,,,,,,,,,,,,,,,,,,5,4,3,1,4,2,6,3,2,1,3,1,3,1,4,2,2,3,10,4,-1,64,5,6
396114,-3,,,,,,,,,,,,,,,,,,,,,,,5,4,2,4,2,5,6,6,5,3,6,1,3,1,1,1,6,4,10,5,1,71,6,3
398426,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,1,35,,
419785,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,25,,
417214,-3,,,,,,,,,,,,,,,,,,,,,,,6,5,5,1,1,4,6,2,6,1,5,1,5,4,6,1,6,5,12,,1,46,6,3
395518,-3,,,,,,,,,,,,,,,,,,,,,,,5,4,1,6,5,2,6,5,2,4,4,1,5,1,6,1,5,4,12,,1,60,6,2
423684,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,-1,52,,
397096,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,1,36,,
421172,-3,,,,,,,,,,,,,,,,,,,,,,,1,3,4,6,2,2,6,6,6,2,5,1,2,1,6,1,6,2,12,4,1,61,6,2
418158,-3,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,5,4,5,2,2,1,2,1,6,1,6,6,12,4,-1,46,6,1
423530,-3,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,12,5,-1,38,6,5
395252,-3,,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,1,1,5,3,4,3,2,1,3,1,6,1,4,3,12,5,1,36,6,5
398351,-3,,,,,,,,,,,,,,,,,,,,,,,3,1,5,1,1,2,6,4,6,2,2,2,3,1,6,1,4,3,12,,1,50,6,3
395522,-3,,,,,,,,,,,,,,,,,,,,,,,6,4,5,1,1,5,6,5,6,1,6,2,2,1,6,2,6,5,13,4,1,50,6,1
416924,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,1,33,,
416938,-3,,,,,,,,,,,,,,,,,,,,,,,3,5,3,3,2,4,3,4,1,2,2,4,4,2,3,5,4,5,14,4,-1,32,3,4
399199,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5,1,46,,
422312,-3,3,1,1,4,6,5,4,5,1,4,1,4,4,3,5,4,2,2,1,4,3,2,2,2,2,5,2,1,6,2,3,3,6,1,5,1,6,1,6,2,,,-1,21,6,1
396967,-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,4,2,6,4,6,1,4,6,6,6,4,6,5,6,4,3,3,-1,19,1,4
397223,-3,6,2,4,4,4,3,4,5,5,5,4,5,4,5,3,4,1,6,3,5,3,2,,,,,,,,,,,,,,,,,,,3,4,1,18,,
421148,-3,6,3,6,3,6,6,6,6,3,3,3,4,6,6,6,6,2,6,3,6,6,3,,,,,,,,,,,,,,,,,,,3,5,1,19,,
424138,-3,5,5,5,4,4,3,3,4,3,5,6,5,4,3,4,3,3,5,5,5,4,4,,,,,,,,,,,,,,,,,,,3,,1,17,,
420053,-3,5,5,6,5,6,5,6,5,5,5,4,5,6,6,6,6,5,5,4,4,6,3,,,,,,,,,,,,,,,,,,,3,,-1,17,,
397988,-3,6,4,4,6,6,4,4,6,1,4,1,6,6,6,6,6,1,6,1,6,6,1,,,,,,,,,,,,,,,,,,,3,,1,17,,
422457,-3,6,3,4,3,6,3,4,6,2,4,2,6,3,3,3,2,2,6,2,6,2,2,6,1,1,2,1,2,5,5,5,2,5,1,2,1,6,1,5,1,3,,1,17,6,5
395540,-3,4,2,1,6,6,3,2,6,3,4,2,3,2,3,4,3,4,4,3,3,3,4,4,5,3,4,3,3,5,4,4,3,5,2,2,1,6,1,5,4,4,1,-1,27,4,4
423239,-3,6,1,1,1,6,1,5,5,4,4,1,6,5,6,5,5,2,6,2,6,2,2,6,3,1,5,1,2,5,4,6,4,5,1,2,1,6,1,6,2,4,1,-1,23,6,1
421466,-3,5,3,1,2,6,2,2,4,4,3,2,3,2,4,6,3,1,4,1,6,2,3,6,1,5,1,1,1,4,3,4,2,4,2,3,1,5,1,5,5,4,1,1,18,6,6
424151,-3,6,1,1,2,6,1,1,6,1,1,1,5,1,1,1,1,1,6,1,6,1,1,5,1,2,1,1,1,5,5,3,1,5,4,4,1,5,1,6,4,4,2,-1,42,6,3
423945,-3,4,4,3,3,5,3,4,6,4,6,4,6,4,6,4,2,2,5,3,5,4,2,5,2,4,5,5,1,6,6,5,2,6,4,5,2,6,4,6,5,4,2,-1,59,6,3
397307,-3,6,6,6,5,6,4,5,6,4,6,6,5,3,6,4,5,3,6,2,4,4,5,6,3,4,4,4,3,6,5,6,1,5,1,3,4,4,4,4,2,4,4,1,20,6,2
395964,-3,5,6,5,6,5,4,5,5,5,5,5,6,5,5,5,6,5,6,5,6,4,2,5,5,4,1,1,2,5,1,5,2,6,4,2,3,6,5,6,4,4,,1,18,6,4
398296,-3,6,4,5,2,6,6,3,6,5,6,2,6,5,6,5,2,2,6,2,6,3,2,5,2,5,2,6,1,6,6,5,2,5,4,3,4,6,5,5,5,4,,1,19,3,5
