SESHID,politics,harmed1,suffered1,violence1,differently1,rights1,unfairly1,betray1,friend1,loyalty1,rank1,duties1,respect1,disgust1,purity1,unnatural1,income2,education,gender,Age
213070,-3,6,6,6,6,6,6,4,4,2,3,6,2,2,3,5,1,7,1,23
213125,-3,6,4,6,5,6,5,4,2,5,5,5,4,6,6,6,3,5,1,60
213200,-3,6,5,5,5,5,5,1,3,3,1,2,2,2,2,3,4,7,-1,37
213204,-3,6,6,5,5,5,5,2,5,3,5,3,2,2,4,5,3,12,1,37
213365,-3,4,4,5,4,6,4,2,4,5,2,4,2,4,3,3,3,3,1,18
213525,-3,5,4,3,5,6,4,2,4,2,5,4,3,4,2,4,2,10,1,36
213604,-3,6,4,6,5,6,5,4,4,5,2,3,2,2,1,3,1,12,1,59
213617,-3,6,6,6,4,6,6,5,4,4,1,4,3,3,2,4,2,6,1,28
213659,-3,6,1,6,6,6,6,1,1,6,1,6,1,1,1,6,5,7,-1,28
213796,-3,5,5,5,5,5,5,3,3,4,4,3,2,2,3,4,2,5,-1,24
213804,-3,6,5,5,5,5,5,2,2,3,5,3,4,2,4,2,4,9,1,47
213823,-3,6,5,6,5,5,5,4,2,4,3,3,3,2,2,2,1,9,1,26
213918,-3,6,6,6,4,6,4,2,2,2,3,3,5,2,2,6,4,7,1,47
214012,-3,6,6,6,6,6,6,3,3,3,4,3,2,2,3,3,,8,1,25
214014,-3,5,6,5,6,6,6,5,4,5,5,4,1,1,1,2,1,8,1,25
214013,-3,6,6,5,4,4,6,2,5,5,1,3,3,2,1,6,1,7,-1,26
214098,-3,6,3,6,5,6,3,3,1,2,3,5,3,1,3,1,4,12,1,31
214120,-3,6,6,6,6,5,5,4,6,5,1,3,4,2,3,5,4,5,1,19
214422,-3,5,5,6,6,6,6,4,6,5,6,5,4,5,5,5,,9,-1,30
214443,-3,6,6,6,6,5,6,4,6,5,6,5,4,5,4,5,,7,-1,54
214499,-3,6,5,5,5,6,5,3,4,2,5,3,2,2,2,2,1,5,-1,22
214712,-3,6,6,6,6,6,6,5,5,6,3,6,5,5,1,6,2,4,1,38
214817,-3,6,4,6,6,6,6,4,6,3,1,6,1,6,4,4,4,7,-1,40
214757,-3,6,5,6,4,5,6,4,3,3,1,4,2,4,4,4,1,5,-1,29
214787,-3,6,6,6,6,6,6,2,1,2,5,6,3,4,4,4,2,7,1,29
214873,-3,6,6,5,5,5,5,4,2,4,1,5,4,3,2,2,5,12,1,47
215011,-3,6,6,6,6,6,2,4,4,1,1,4,1,3,3,5,2,7,-1,33
215098,-3,6,5,6,5,6,4,5,4,5,3,5,4,6,3,5,2,9,-1,34
215134,-3,4,6,6,6,6,6,3,3,4,1,5,2,2,3,2,2,5,1,30
215180,-3,5,5,4,6,5,6,3,6,3,2,5,4,2,4,5,4,8,-1,29
215198,-3,5,2,5,3,6,4,2,2,2,2,5,4,2,2,4,4,5,1,19
215214,-3,6,6,6,6,6,6,3,4,4,1,4,1,4,6,6,3,7,1,24
215256,-3,6,4,3,5,6,2,2,2,3,3,2,3,2,2,2,1,7,1,23
215419,-3,6,6,6,6,6,5,4,4,4,2,6,5,1,3,2,3,8,-1,28
215468,-3,5,5,5,5,5,6,2,3,5,1,2,1,,1,,,5,1,21
211235,-2,6,6,6,6,5,6,2,4,4,1,4,4,6,6,6,,9,1,29
212907,-2,5,4,5,3,5,4,1,1,1,2,4,4,1,1,1,5,12,-1,40
210209,-2,6,6,6,6,6,6,6,4,5,1,6,6,4,4,5,,5,1,21
213680,-2,6,6,6,6,6,6,5,4,5,5,6,5,6,3,4,4,8,1,57
209283,-2,4,3,5,4,5,5,3,2,3,3,6,5,2,3,2,3,9,-1,24
209395,-2,6,6,5,5,5,6,4,3,5,3,3,4,2,4,3,2,6,1,30
209424,-2,6,6,6,5,6,5,2,5,5,1,6,5,3,4,3,2,7,1,35
209537,-2,6,4,5,5,6,,4,2,3,4,5,5,4,3,4,4,5,-1,29
209596,-2,6,5,6,5,5,5,5,5,5,5,5,5,5,5,6,4,7,-1,32
209611,-2,6,5,5,5,5,5,4,3,3,5,5,4,2,3,3,1,8,-1,23
209650,-2,3,6,6,5,6,5,4,3,4,4,4,6,3,4,5,1,6,1,24
