V101,gender,educ,race,pid7,pid3,ideo5,emote,treatd,lovec,auth,purity,math,weak,unfair,betray,conform,disgust,cruel,rights,loyal,chaos,goddis,compat,treatf,proudc,authc,nodisgust,dogood,hurt,justice,loyalf,roles,notnat,kill,rich,team,obey,chaste,religattend,income,age,state,zip,county,inputstate
163186061,2,2,1,7,2,,3,,,4,3,3,3,,,,,3,,3,,3,5,,,5,,,,5,,5,,2,3,3,3,,6,8,53,MD,21234,Baltimore MD,24
163188052,2,5,3,2,1,4,,,,2,,1,,3,4,,,4,,3,4,5,4,,4,,,,5,,5,,5,2,5,3,,,3,9,30,OH,43240,Delaware OH,39
163189215,2,6,1,3,3,1,5,,,,5,,5,5,,,4,,4,4,4,,,6,,,2,,6,,5,,3,,,4,6,2,6,3,70,PA,15210,Allegheny PA,42
163189281,2,3,1,7,2,5,,,5,5,,,,5,,6,6,6,5,,,5,,,6,,6,,6,6,,5,,,1,4,,5,6,3,80,CA,91801,Los Angeles CA,6
163195436,2,3,4,2,1,2,5,,,,,,6,6,,4,2,3,,,4,2,5,6,,,,,,6,5,4,,,,5,4,4,6,2,24,CA,94606,Alameda CA,6
163196671,2,2,1,,3,3,,,4,5,,2,4,,4,5,,6,,,,2,6,,,5,,6,,6,3,,,6,1,,,2,3,7,19,CO,80909,El Paso CO,8
163204895,1,2,1,5,3,3,5,,3,,,,,,5,3,5,5,5,5,,,,6,,6,,,,,,6,6,1,1,,5,4,5,4,31,GA,31601,Lowndes GA,13
163206084,1,2,1,3,3,3,3,,,,4,2,,5,,3,2,,5,,,3,5,6,6,,,,3,6,6,6,,,,,6,,5,5,56,IA,52248,Keokuk IA,19
163212494,1,3,1,7,2,5,,3,,,4,2,,4,4,,,4,4,4,,,,6,,6,5,,4,5,,,5,,,,6,6,1,8,76,NV,89134,Clark NV,32
163212573,2,5,1,5,3,4,5,6,6,5,6,1,6,6,6,5,6,6,5,5,6,6,5,6,6,6,6,6,6,5,2,6,5,1,1,2,6,5,1,,68,TN,37138,Davidson TN,47
163213920,2,5,2,5,3,3,5,,,3,,2,,,3,1,,4,,2,4,,6,,,,4,,3,,4,,4,6,3,,,4,6,5,30,MO,63117,St. Louis MO,29
163214136,2,2,1,4,,3,,,1,,,1,1,1,1,1,,,,1,,1,5,,5,6,,6,6,6,5,,,6,,,,,6,,76,NY,10990,Orange NY,36
163220457,2,5,1,1,1,2,,,3,,,,5,5,,2,,6,,5,6,2,,6,5,,5,6,6,,3,,,,,4,6,,6,2,67,CA,95407,Sonoma CA,6
163226023,2,1,1,1,1,1,,5,,5,,1,,,5,5,,,5,5,5,,5,5,5,,6,6,6,,6,,,,,1,,,6,8,45,WA,98003,King WA,53
163229766,1,3,4,4,3,3,4,,,4,,4,4,4,,4,,4,,,4,,5,,,5,5,,5,,,5,,,5,,5,5,3,5,21,PA,19082,Delaware PA,42
163229856,2,2,1,3,3,3,5,,,,,,6,5,5,4,,6,,6,1,,6,,,6,4,,6,,1,,3,,2,,,5,5,6,45,NJ,8060,Burlington NJ,34
163229858,1,2,1,2,1,3,4,,,5,3,1,,,,4,2,6,6,,,,,,4,,1,6,5,,,3,1,,3,,,4,5,1,23,CA,92025,San Diego CA,6
163234026,2,3,1,7,2,4,,,6,6,,,6,6,,,6,6,6,,,5,,6,5,6,4,,,,4,,,,1,2,2,,2,9,65,CA,91344,Los Angeles CA,6
163245329,1,5,1,7,2,4,5,5,,,6,,,6,,4,,6,6,6,,,,6,,,6,6,,,,,6,,1,2,5,6,2,9,81,TX,75007,Denton TX,48
163247522,2,3,1,7,2,5,6,6,,,6,,,6,,6,,6,6,,6,,,,6,6,,6,,,5,,,6,,6,6,6,1,,78,VA,23113,Chesterfield VA,51
163259593,2,3,2,1,1,5,,4,5,6,5,3,3,,,,,4,,5,,,6,6,4,,6,6,6,,,,,,3,,,5,4,5,38,AL,36116,Montgomery AL,1
163269319,2,4,1,2,1,2,2,5,5,6,5,1,4,4,5,5,5,6,5,5,5,,6,6,6,6,6,6,6,6,5,5,6,5,6,5,6,5,6,,70,OK,73034,Oklahoma OK,40
163275122,1,3,1,4,3,2,3,,,,,2,,,4,3,2,3,3,2,,,,5,,,,5,4,4,,3,3,4,2,,,,6,11,56,PA,19382,Chester PA,42
163316487,1,3,1,7,2,5,,,,6,6,,,5,,5,5,6,,,5,5,,,6,,5,6,,5,1,,,,1,5,,6,1,5,52,NV,89130,Clark NV,32
163332146,1,5,1,3,3,3,3,5,4,5,5,1,2,6,5,4,3,6,6,4,6,1,2,6,5,6,6,6,6,5,3,1,3,4,6,3,3,2,6,8,66,WI,54121,Florence WI,55
163335302,2,5,2,2,1,2,,4,,4,,,4,4,3,3,3,,,,3,,6,6,4,6,,,6,,,,,,4,,3,4,4,10,32,IL,60302,Cook IL,17
163335318,1,2,1,1,1,2,4,,,,3,,5,5,2,,4,4,5,,,,,5,5,,5,,,5,,5,,4,,2,,3,6,5,67,CA,93205,Kern CA,6
163342955,2,6,1,2,1,3,5,,2,,,1,,,,,1,5,5,,4,3,6,,3,5,,6,6,6,,,,,,,3,4,4,5,38,NY,11740,Suffolk NY,36
163355779,1,1,1,2,1,1,,,2,4,2,3,4,4,,,,,4,4,,,5,5,,,,6,,,4,,,5,3,4,4,,6,10,37,MD,20716,Prince Georges MD,24
