WUSTLID,emote,treatd,lovec,auth,purity,attchecka,weak,unfair,betray,conform,disgust,compat,treatf,proudc,authc,nodisgust,attcheckb,hurt,justice,loyalf,roles,notnat,demfeel,repfeel,libfeel,consfeel,pid3,ideo7
989989,2,1,3,3,4,5,5,4,1,4,5,3,2,2,6,6,3,3,6,NA,3,4,10,2,4,1,3,NA
989990,4,4,4,5,4,1,3,4,4,2,3,2,3,4,6,5,6,4,4,4,4,4,6,8,6,9,2,5
989991,5,5,5,5,4,3,4,5,3,3,5,5,6,4,6,4,4,6,6,4,1,2,6,2,9,0,3,3
989993,4,5,4,4,4,3,4,4,4,4,4,4,4,5,5,5,6,3,5,5,4,4,4,7,6,8,3,5
989994,5,5,5,5,5,1,5,5,NA,5,5,5,5,3,4,4,6,6,6,5,5,3,5,0,5,5,1,4
989995,4,4,4,2,5,1,4,5,5,2,4,4,5,6,5,6,6,6,6,6,4,6,1,8,0,7,2,6
989996,4,4,4,5,5,1,2,4,5,4,5,6,1,6,6,5,6,5,5,5,5,4,0,10,0,10,2,6
989997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989998,3,3,4,4,4,3,2,3,4,3,3,5,5,6,6,5,5,2,5,5,4,4,2,10,2,8,2,6
989999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990000,4,5,1,3,5,1,2,5,2,2,2,4,5,5,5,4,5,6,5,2,5,4,7,5,7,7,3,3
990001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990002,3,4,4,4,5,3,3,4,3,4,3,5,4,6,5,5,6,6,5,2,2,1,3,8,6,6,NA,5
990003,5,5,5,5,5,5,5,5,5,5,5,1,1,5,6,6,6,6,5,1,4,5,10,5,10,5,1,1
990004,3,3,3,1,1,1,4,2,2,4,3,5,5,5,5,6,6,5,5,4,4,3,7,1,7,0,1,3
990005,4,5,4,5,5,2,5,4,4,3,4,6,6,6,6,6,6,6,6,6,5,4,7,6,8,5,1,2
990006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990536,5,5,5,5,5,2,5,5,5,3,5,6,6,4,6,6,6,6,6,6,2,6,10,10,10,10,1,1
990538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990540,4,4,1,3,3,1,3,5,1,2,2,5,5,4,5,3,6,6,6,6,2,1,5,0,5,0,1,1
990541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990542,4,5,2,5,4,1,2,5,4,3,3,2,2,1,1,3,6,6,4,5,5,4,5,5,5,5,1,NA
990543,4,5,5,5,5,3,4,5,4,3,5,4,5,4,6,6,6,5,6,4,3,4,5,5,5,5,2,4
990544,4,5,2,5,4,1,5,5,2,2,4,6,6,5,6,6,6,6,6,6,1,1,10,10,7,10,2,4
990545,4,5,5,4,5,3,5,3,4,4,5,4,2,5,6,6,6,6,6,4,5,4,8,5,8,2,3,3
990548,3,3,3,3,3,1,3,3,3,1,3,5,5,4,NA,4,5,5,5,5,5,4,5,5,5,5,3,2
990550,3,3,5,5,5,1,4,5,5,5,2,6,6,6,6,6,6,6,6,1,5,6,2,9,1,9,2,6
990553,3,3,3,5,5,1,3,5,5,5,1,6,6,4,3,4,6,6,6,6,6,4,5,5,5,5,3,6
990555,5,5,4,5,2,1,4,5,2,1,1,6,6,4,6,5,6,6,6,1,1,1,10,2,9,1,3,1
990556,3,5,5,5,5,2,5,5,5,3,5,6,NA,6,6,6,6,6,6,5,5,NA,10,0,7,5,1,3
990557,4,NA,5,4,5,2,NA,5,4,4,5,5,4,6,6,6,6,5,4,6,4,6,0,10,0,10,2,6
990558,4,4,4,4,4,2,3,5,3,2,3,5,3,5,6,6,1,1,1,6,5,5,0,8,0,8,2,5
990559,4,3,5,5,5,NA,4,5,5,4,5,6,6,6,6,6,6,6,6,3,6,6,NA,7,0,10,NA,7
990560,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,NA
990561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990564,3,5,5,5,5,4,1,5,1,2,2,1,1,6,6,5,6,1,4,1,6,6,1,10,0,10,2,7
990565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990570,2,2,2,2,2,1,2,2,2,2,2,1,1,6,6,2,6,2,6,2,5,5,4,6,3,9,2,6
990571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990572,5,4,3,5,3,2,3,4,2,3,4,4,5,1,4,4,6,5,6,5,5,5,8,4,8,5,1,3
990573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990575,5,5,3,5,5,2,5,5,5,3,5,6,6,4,4,4,6,6,6,3,4,3,5,5,5,5,1,5
990576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990578,1,1,1,2,4,3,2,3,2,1,5,2,4,6,5,5,6,4,4,4,6,5,5,7,0,5,3,6
990579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990583,2,4,5,4,5,2,4,4,5,4,4,5,5,6,6,6,6,6,6,5,6,6,1,10,2,9,2,5
990584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990586,4,5,5,NA,NA,NA,5,5,5,3,5,5,3,6,6,5,6,6,5,3,4,3,10,10,10,10,3,4
990587,5,5,5,5,5,1,5,5,5,2,4,6,6,6,6,5,6,6,6,5,5,5,8,4,8,3,3,4
990588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990591,5,4,2,4,4,3,5,3,3,2,2,5,4,4,6,3,5,4,4,4,4,3,NA,NA,NA,NA,2,5
990592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990597,5,5,3,3,5,1,5,5,5,2,4,6,5,4,5,2,6,6,5,6,5,6,3,3,5,5,3,3
990598,4,4,3,3,3,1,3,4,3,1,1,5,6,6,6,6,6,6,5,5,6,1,5,5,0,5,3,4
990599,3,3,5,5,5,4,3,5,5,5,4,6,6,6,6,5,6,6,6,4,5,5,5,8,4,6,2,5
990600,4,5,4,2,2,3,4,5,3,3,3,6,6,3,2,1,6,3,6,3,1,1,9,2,10,1,1,1
990601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990605,3,5,5,5,5,5,5,5,5,3,4,6,6,6,6,6,6,6,6,1,1,4,9,5,5,5,1,6
990607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990608,3,4,4,5,4,1,4,4,5,4,5,5,5,5,6,6,6,6,6,4,4,5,2,6,5,6,3,4
990609,4,4,4,5,5,1,3,5,5,4,5,4,4,6,6,6,6,6,6,3,6,2,5,5,5,5,NA,6
990611,1,5,1,4,5,1,5,5,5,1,5,5,6,6,6,6,6,1,6,3,3,6,5,5,5,5,2,6
990612,3,5,5,3,4,3,2,5,4,4,5,6,6,5,6,6,6,6,6,1,6,6,3,8,5,10,2,7
990613,2,5,2,5,4,1,1,5,5,4,5,3,6,1,5,6,6,6,6,4,3,3,0,10,5,5,2,5
990614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990616,5,5,5,5,5,2,5,5,5,3,2,6,6,3,6,4,6,6,6,5,5,4,10,5,5,4,1,4
990617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990618,5,5,5,5,5,1,4,5,4,2,2,6,6,1,6,6,6,5,5,4,3,4,5,5,5,5,NA,NA
990620,3,4,3,5,5,1,3,1,1,1,1,5,4,5,5,4,6,1,4,5,3,4,5,5,5,5,2,6
990621,5,5,5,5,NA,1,5,5,5,5,5,6,1,3,6,5,6,4,5,4,6,5,10,5,10,10,1,1
990622,5,5,5,5,5,1,4,5,4,2,5,6,6,4,6,6,6,6,6,5,6,4,10,1,10,1,1,1
990623,5,5,3,4,5,1,5,5,5,3,3,3,3,6,6,5,6,6,5,3,2,1,4,4,4,4,NA,3
990625,4,5,4,3,5,1,4,5,4,2,3,5,5,5,4,4,6,5,3,3,4,3,9,3,7,4,1,2
990626,4,5,5,5,5,3,5,5,5,4,5,6,6,5,6,6,6,6,5,5,5,6,0,10,0,10,3,6
990628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990632,3,3,3,3,3,3,3,3,3,3,3,4,5,3,6,5,5,6,4,4,3,4,2,2,2,3,3,NA
990633,4,4,4,4,5,2,4,4,4,4,5,3,2,6,6,5,6,3,4,6,6,6,0,8,0,8,2,6
990634,4,4,2,2,4,4,4,5,3,2,2,3,3,6,4,2,6,3,4,4,3,3,6,7,7,7,3,2
990635,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,4,4,4,4,4,4,5,0,5,0,1,1
